county,year,gas,tons,state
La Plata,2014,NOX,"14,720.70",Colorado
La Plata,2014,VOC,"3,795.90",Colorado
La Plata,2014,CO,11162.2,Colorado
La Plata,2014,SOX,51.8616,Colorado
La Plata,2014,PM,298.631,Colorado
La Plata,2014,CO2,679680,Colorado
La Plata,2014,CH4,3721.81,Colorado
La Plata,2014,N2O,12.2629,Colorado
La Plata,2028,NOX,"15,913.50",Colorado
La Plata,2028,VOC,"4,519.10",Colorado
La Plata,2028,CO,13342.9,Colorado
La Plata,2028,SOX,55.8875,Colorado
La Plata,2028,PM,403.063,Colorado
La Plata,2028,CO2,1.31E+06,Colorado
La Plata,2028,CH4,16316.3,Colorado
La Plata,2028,N2O,17.3066,Colorado
Archuleta,2014,NOX,538.536,Colorado
Archuleta,2014,VOC,80.778,Colorado
Archuleta,2014,CO,431.435,Colorado
Archuleta,2014,SOX,0.000496,Colorado
Archuleta,2014,PM,10.3652,Colorado
Archuleta,2014,CO2,797.427,Colorado
Archuleta,2014,CH4,8.91834,Colorado
Archuleta,2014,N2O,0.00758934,Colorado
Archuleta,2028,NOX,765.189,Colorado
Archuleta,2028,VOC,161.251,Colorado
Archuleta,2028,CO,683.059,Colorado
Archuleta,2028,SOX,0.542109,Colorado
Archuleta,2028,PM,21.7376,Colorado
Archuleta,2028,CO2,59741.2,Colorado
Archuleta,2028,CH4,1523.62,Colorado
Archuleta,2028,N2O,0.775495,Colorado
Cibola,2014,NOX,294.0878,New Mexico
Cibola,2028,NOX,294.0878,New Mexico
Cibola,2014,VOC,10.18645,New Mexico
Cibola,2028,VOC,10.18645,New Mexico
Cibola,2014,CO,0,New Mexico
Cibola,2028,CO,0,New Mexico
Cibola,2014,SOX,0.0471,New Mexico
Cibola,2028,SOX,0.0471,New Mexico
Cibola,2014,PM,0.9569,New Mexico
Cibola,2028,PM,0.9569,New Mexico
Cibola,2014,CO2,0,New Mexico
Cibola,2028,CO2,0,New Mexico
Cibola,2014,CH4,0,New Mexico
Cibola,2028,CH4,0,New Mexico
Cibola,2014,N2O,0,New Mexico
Cibola,2028,N2O,0,New Mexico
McKinley,2014,NOX,199.7087842,New Mexico
McKinley,2028,NOX,237.9892819,New Mexico
McKinley,2014,VOC,371.9266238,New Mexico
McKinley,2028,VOC,457.8090024,New Mexico
McKinley,2014,CO,309.1521019,New Mexico
McKinley,2028,CO,360.2205095,New Mexico
McKinley,2014,SOX,4.753455215,New Mexico
McKinley,2028,SOX,4.825664649,New Mexico
McKinley,2014,PM,10.90809632,New Mexico
McKinley,2028,PM,13.29982381,New Mexico
McKinley,2014,CO2,159659.176,New Mexico
McKinley,2028,CO2,168843.6003,New Mexico
McKinley,2014,CH4,2004.220144,New Mexico
McKinley,2028,CH4,1764.218023,New Mexico
McKinley,2014,N2O,3.00202312,New Mexico
McKinley,2028,N2O,3.149892104,New Mexico
Rio Arriba,2014,NOX,15420.38881,New Mexico
Rio Arriba,2028,NOX,14714.1549,New Mexico
Rio Arriba,2014,VOC,35464.73502,New Mexico
Rio Arriba,2028,VOC,26185.04837,New Mexico
Rio Arriba,2014,CO,27865.51793,New Mexico
Rio Arriba,2028,CO,26039.38516,New Mexico
Rio Arriba,2014,SOX,37.94791525,New Mexico
Rio Arriba,2028,SOX,37.5611379,New Mexico
Rio Arriba,2014,PM,464.8427089,New Mexico
Rio Arriba,2028,PM,448.2403493,New Mexico
Rio Arriba,2014,CO2,2788525.702,New Mexico
Rio Arriba,2028,CO2,2667919.651,New Mexico
Rio Arriba,2014,CH4,152322.1725,New Mexico
Rio Arriba,2028,CH4,83245.0438,New Mexico
Rio Arriba,2014,N2O,25.71622258,New Mexico
Rio Arriba,2028,N2O,26.6447761,New Mexico
Sandoval,2014,NOX,500.748106,New Mexico
Sandoval,2028,NOX,690.6248587,New Mexico
Sandoval,2014,VOC,2423.093637,New Mexico
Sandoval,2028,VOC,2067.864451,New Mexico
Sandoval,2014,CO,883.2552223,New Mexico
Sandoval,2028,CO,1076.591389,New Mexico
Sandoval,2014,SOX,0.931225924,New Mexico
Sandoval,2028,SOX,1.310248442,New Mexico
Sandoval,2014,PM,12.11443646,New Mexico
Sandoval,2028,PM,25.06158553,New Mexico
Sandoval,2014,CO2,130435.9712,New Mexico
Sandoval,2028,CO2,159995.1725,New Mexico
Sandoval,2014,CH4,6047.484034,New Mexico
Sandoval,2028,CH4,4689.409843,New Mexico
Sandoval,2014,N2O,0.883369488,New Mexico
Sandoval,2028,N2O,1.361431063,New Mexico
San Juan,2014,NOX,28312.3161,New Mexico
San Juan,2028,NOX,27196.64606,New Mexico
San Juan,2014,VOC,47913.23753,New Mexico
San Juan,2028,VOC,35703.10366,New Mexico
San Juan,2014,CO,44892.01977,New Mexico
San Juan,2028,CO,42051.84846,New Mexico
San Juan,2014,SOX,223.4222365,New Mexico
San Juan,2028,SOX,222.9546212,New Mexico
San Juan,2014,PM,910.2998342,New Mexico
San Juan,2028,PM,893.9391767,New Mexico
San Juan,2014,CO2,7618342.92,New Mexico
San Juan,2028,CO2,7470315.952,New Mexico
San Juan,2014,CH4,247139.5562,New Mexico
San Juan,2028,CH4,115218.6912,New Mexico
San Juan,2014,N2O,124.3182458,New Mexico
San Juan,2028,N2O,125.795001,New Mexico
Valencia,2014,NOX,2.634,New Mexico
Valencia,2028,NOX,2.634,New Mexico
Valencia,2014,VOC,4.665,New Mexico
Valencia,2028,VOC,4.665,New Mexico
Valencia,2014,CO,0.54,New Mexico
Valencia,2028,CO,0.54,New Mexico
Valencia,2014,SOX,0.007,New Mexico
Valencia,2028,SOX,0.007,New Mexico
Valencia,2014,PM,0.013,New Mexico
Valencia,2028,PM,0.013,New Mexico
Valencia,2014,CO2,179.4141209,New Mexico
Valencia,2028,CO2,179.4141209,New Mexico
Valencia,2014,CH4,20.11016769,New Mexico
Valencia,2028,CH4,20.11016769,New Mexico
Valencia,2014,N2O,0.000335177,New Mexico
Valencia,2028,N2O,0.000335177,New Mexico
